ROUTE_SHORT_NAME,STOP_NAME,ROUTE_CATEGORY,ROUTE_LONG_NAME,LONGITUDE,LATITUDE
1,26th Street SE Station (EB,REGULAR,Bowness/Forest Lawn,-113.9939983,51.0374325
1,26th Street SE Station (WB,REGULAR,Bowness/Forest Lawn,-113.9940339,51.0375441
1,33rd Street SE Station (EB,REGULAR,Bowness/Forest Lawn,-113.985785,51.0377821
1,33rd Street SE Station (WB,REGULAR,Bowness/Forest Lawn,-113.9874604,51.037864
1,36th Street SE Station (EB,REGULAR,Bowness/Forest Lawn,-113.9807345,51.037782
1,36th Street SE Station (WB,REGULAR,Bowness/Forest Lawn,-113.9824009,51.0378701
1,44th Street SE Station (EB,REGULAR,Bowness/Forest Lawn,-113.9692927,51.0377348
1,44th Street SE Station (WB,REGULAR,Bowness/Forest Lawn,-113.9708089,51.0378721
1,9th Avenue SE Station (EB,REGULAR,Bowness/Forest Lawn,-114.0212178,51.0366099
1,9th Avenue SE Station (WB,REGULAR,Bowness/Forest Lawn,-114.021302,51.0366975
1,Bowness Terminal NW,REGULAR,Bowness/Forest Lawn,-114.2191188,51.0957324
1,EB 14 AV SE @ 52 ST SE,REGULAR,Bowness/Forest Lawn,-113.9576759,51.0409012
1,EB 3 AV NW @ 34 ST NW,REGULAR,Bowness/Forest Lawn,-114.1367214,51.0577784
1,EB 3 AV NW @ 37 ST NW,REGULAR,Bowness/Forest Lawn,-114.140585,51.059699
1,EB 48 AV NW @ 88 ST NW,REGULAR,Bowness/Forest Lawn,-114.2153197,51.0958192
1,EB 5 AV SW @ 2 ST SW,REGULAR,Bowness/Forest Lawn,-114.0667052,51.0484312
1,EB 5 AV SW @ 5 ST SW,REGULAR,Bowness/Forest Lawn,-114.0726025,51.0485972
1,EB 5 AV SW @ 7 ST SW,REGULAR,Bowness/Forest Lawn,-114.0788566,51.0487628
1,EB 5 AV SW @ 9 ST SW,REGULAR,Bowness/Forest Lawn,-114.0826744,51.0488672
1,EB 8 AV SE @ Pensacola WY,REGULAR,Bowness/Forest Lawn,-113.9503789,51.0451184
1,EB 9 AV @ 8 ST SE,REGULAR,Bowness/Forest Lawn,-114.0409248,51.0431088
1,EB 9 AV @ Macleod TR SE,REGULAR,Bowness/Forest Lawn,-114.0573315,51.0443545
1,EB 9 AV S @ Centre ST S,REGULAR,Bowness/Forest Lawn,-114.062344,51.044469
1,EB 9 AV SE @ 11 ST SE,REGULAR,Bowness/Forest Lawn,-114.0362987,51.0419067
1,EB 9 AV SE @ 12 ST SE,REGULAR,Bowness/Forest Lawn,-114.0339826,51.0410204
1,EB 9 AV SE @ 13 ST SE,REGULAR,Bowness/Forest Lawn,-114.0313561,51.0399912
1,EB 9 AV SE @ 14 ST SE,REGULAR,Bowness/Forest Lawn,-114.0285283,51.0389208
