SCHOOL_ID,NAME,BOARD,CITY,PROVINCE,GRADES,POSTSECOND,DATA_SOURCE,ELEM,JUNIOR_H,SENIOR_H,POSTAL_COD,LATITUDE,LONGITUDE
1,A. E. Cross School,The Calgary School Division,Calgary,AB,Junior High,N,N,N,Y,N,T3E3C2,51.02336111,-114.1423612
2,AADAC Youth Services,The Calgary School Division,Calgary,AB,Unknown,N,N,N,N,N,T2N2E5,51.06058077,-114.1016481
3,Abbeydale School,The Calgary School Division,Calgary,AB,Elementary,N,N,Y,N,N,T2A6W2,51.05640654,-113.9302013
4,Acadia School,The Calgary School Division,Calgary,AB,Elementary,N,N,Y,N,N,T2J1K4,50.9698888,-114.0532941
5,Access Academy,Access International College (Calgary) Incorporated,Calgary,AB,Junior High/Senior High,N,N,N,Y,Y,T3E7K1,51.01926865,-114.1190292
6,Adolescent Mental Health Services,The Calgary School Division,Calgary,AB,Elementary/Junior High/Senior High,N,N,Y,Y,Y,T2N2T9,51.06506519,-114.131287
7,Ahmadiyya Muslim School,Ahmadiyya Muslim Schools Society Alberta,Calgary,AB,Elementary/Junior High,N,N,Y,Y,N,T3J4L3,51.10175158,-113.9737993
8,Akiva Academy,Congregation House of Jacob-Mikveh Israel,Calgary,AB,Elementary/Junior High,N,N,Y,Y,N,T2V2Y3,50.97366999,-114.0772316
9,Al-Amal Academy,The Prairie Land School Division,Calgary,AB,Elementary/Junior High,N,N,Y,Y,N,T3R0N2,51.14926772,-114.206071
10,Al-Amal Online Academy,The Prairie Land School Division,Calgary,AB,Senior High,N,N,N,N,Y,T3R0N2,51.14963114,-114.2082167
11,Alberta Ballet School,The Alberta Ballet Company,Calgary,AB,Junior High/Senior High,N,N,N,Y,Y,T2R1K7,51.04224859,-114.0822517
12,Alberta Chung Wah School,Alberta Chung Wah School Society,Calgary,AB,Unknown,N,N,N,N,N,T2G4X6,51.04950006,-114.0622196
13,Alex Ferguson School,The Calgary School Division,Calgary,AB,Elementary,N,N,Y,N,N,T3C1K5,51.03943608,-114.1233821
14,Alex Munro School,The Calgary School Division,Calgary,AB,Elementary,N,N,Y,N,N,T2K0R9,51.12095458,-114.0613747
15,All Boys Program,The Calgary School Division,Calgary,AB,Elementary,N,N,Y,N,N,T3E1C2,51.0212257,-114.136711
16,All Saints High School,The Calgary Roman Catholic Separate School Division,Calgary,AB,Senior High,N,N,N,N,Y,T2X4K9,50.85918373,-114.0259251
17,"Almadina Language Charter Academy, Mountain View Campus",Almadina School Society,Calgary,AB,Elementary,N,N,Y,N,N,T2B1R9,51.03255056,-113.986905
18,"Almadina Language Charter Academy, Ogden Campus",Almadina School Society,Calgary,AB,Elementary/Junior High,N,N,Y,Y,N,T2C0G8,50.9847171,-114.0135793
19,Al-Qaim International School,Al-Zahra Islamic Research Foundation,Calgary,AB,Elementary/Junior High,N,N,Y,Y,N,T2H1C3,50.98540138,-114.0515489
20,Altadore School,The Calgary School Division,Calgary,AB,Elementary,N,N,Y,N,N,T2T4H9,51.01487116,-114.1002161
21,Alternative High School,The Calgary School Division,Calgary,AB,Senior High,N,N,N,N,Y,T2T5A5,51.00938188,-114.1101934
22,Andrew Sibbald School,The Calgary School Division,Calgary,AB,Elementary,N,N,Y,N,N,T2J2X9,50.93526626,-114.0417171
23,Annie Foote School,The Calgary School Division,Calgary,AB,Elementary,N,N,Y,N,N,T1Y5V5,51.08590565,-113.9404197
24,Annie Gale School,The Calgary School Division,Calgary,AB,Elementary/Junior High,N,N,Y,Y,N,T1Y4S8,51.08872943,-113.9649795
25,Apostles of Jesus,The Calgary Roman Catholic Separate School Division,Calgary,AB,Elementary/Junior High,N,N,Y,Y,N,T3N1H6,51.158808,-113.9560794
26,Arbour Lake Middle School,The Calgary School Division,Calgary,AB,Elementary/Junior High,N,N,Y,Y,N,T3G4H3,51.13497196,-114.2092406
27,Arise Christian Academy,Arise Calgary Church,Calgary,AB,Elementary/Junior High/Senior High,N,N,Y,Y,Y,T3J1Z9,51.09693531,-113.9531395
28,Asasa Academy,Asasa Learning,Calgary,AB,Elementary,N,N,Y,N,N,T2K3J6,51.08648866,-114.0891968
29,Ascension of Our Lord,The Calgary Roman Catholic Separate School Division,Calgary,AB,Elementary/Junior High,N,N,Y,Y,N,T3K4G9,51.14618128,-114.0608134
30,Auburn Bay School,The Calgary School Division,Calgary,AB,Elementary,N,N,Y,N,N,T3M0K6,50.89635216,-113.9618884
31,Aurora Learning Calgary,Aurora Learning Foundation (Calgary),Calgary,AB,Elementary/Junior High/Senior High,N,N,Y,Y,Y,T2E7N7,51.09706319,-114.0075744
32,Balmoral School,The Calgary School Division,Calgary,AB,Elementary/Junior High,N,N,Y,Y,N,T2M0H4,51.06797713,-114.0668282
33,Banbury Crossroads School,Banbury Crossroads School,Calgary,AB,Elementary/Junior High/Senior High,N,N,Y,Y,Y,T3E7K1,51.0192754,-114.1189863
34,Banff Trail School,The Calgary School Division,Calgary,AB,Elementary,N,N,Y,N,N,T2M4J3,51.08121918,-114.1170596
35,Banting and Best School,The Calgary School Division,Calgary,AB,Elementary,N,N,Y,N,N,T2C2K5,50.99385668,-114.0148461
36,Battalion Park School,The Calgary School Division,Calgary,AB,Elementary,N,N,Y,N,N,T3H4S2,51.02387856,-114.183636
