latitude,longitude,facility_name,source_facility_type,odhf_facility_type,provider,city,province
43.57490289,-79.60621389,Trillium Health Partners — Reactivation Care Centre Church,Active Acute Hospital,Hospitals,Canadian Institute for Health Information,Toronto,Ontario
43.657374,-79.387437,Hospital For Sick Children,Active Acute Hospital,Hospitals,Canadian Institute for Health Information,Toronto,Ontario
43.65758766,-79.37704302,Unity Health Toronto — Reactivation Care Centre Church,Active Acute Hospital,Hospitals,Canadian Institute for Health Information,Toronto,Ontario
43.72654146,-79.37432256,Sunnybrook Health Sciences Centre — Reactivation Care Centre Church,Active Acute Hospital,Hospitals,Canadian Institute for Health Information,Toronto,Ontario
43.77372504,-79.3617209,North York General Hospital — Reactivation Care Centre Finch,Active Acute Hospital,Hospitals,Canadian Institute for Health Information,Toronto,Ontario
43.88786101,-79.23319681,Markham Stouffville Hospital — Reactivation Care Centre Finch,Active Acute Hospital,Hospitals,Canadian Institute for Health Information,Toronto,Ontario
44.60020131,-75.68227309,Brockville General Hospital — Elmgrove Site,Active Acute Hospital,Hospitals,Canadian Institute for Health Information,Brockville,Ontario
44.882577,-65.156992,Soldiers Memorial Hospital,Active Acute Hospital,Hospitals,Canadian Institute for Health Information,Middleton,Nova Scotia
45.13178973,-73.99921475,Cisss De La Montérégie-Ouest — Hôpital Barrie Memorial,Active Acute Hospital,Hospitals,Canadian Institute for Health Information,Ormstown,Quebec
45.302733,-66.08515,Saint John Regional Hospital,Active Acute Hospital,Hospitals,Canadian Institute for Health Information,Saint John,New Brunswick
45.33691913,-73.26998826,Cisss De La Montérégie-Centre — Hôpital Du Haut-Richelieu,Active Acute Hospital,Hospitals,Canadian Institute for Health Information,Saint-Jean-Sur-Richelieu,Quebec
45.3495627,-73.76451406,Cisss De La Montérégie-Ouest — Hôpital Anna-Laberge,Active Acute Hospital,Hospitals,Canadian Institute for Health Information,Châteauguay,Quebec
45.40809253,-61.50887059,Guysborough Memorial Hospital,Active Acute Hospital,Hospitals,Canadian Institute for Health Information,Guysborough,Nova Scotia
45.44824748,-75.74602458,Cisss De L'Outaouais — Hôpital De Hull,Active Acute Hospital,Hospitals,Canadian Institute for Health Information,Gatineau,Quebec
45.47510182,-73.60159358,Hôpital Shriners Pour Enfants (Québec),Active Acute Hospital,Hospitals,Canadian Institute for Health Information,Montréal,Quebec
45.4757266,-73.64508623,Ciusss Du Centre-Ouest-De-L'Île-De-Montréal — Hôpital Richardson,Active Acute Hospital,Hospitals,Canadian Institute for Health Information,Montréal,Quebec
45.50028602,-73.48656927,Cisss De La Montérégie-Centre — Hôpital Charles Lemoyne,Active Acute Hospital,Hospitals,Canadian Institute for Health Information,Greenfield Park,Quebec
45.50083279,-73.62898311,Ciusss Du Centre-Ouest-De-L'Île-De-Montréal — Hôpital Général Juif,Active Acute Hospital,Hospitals,Canadian Institute for Health Information,Montréal,Quebec
45.54210346,-73.45817235,Cisss De La Montérégie-Est — Hôpital Pierre-Boucher,Active Acute Hospital,Hospitals,Canadian Institute for Health Information,Longueuil,Quebec
45.5747418,-73.64784623,Ciusss Du Nord-De-L'Île-De-Montréal — Hôpital Fleury,Active Acute Hospital,Hospitals,Canadian Institute for Health Information,Montréal,Quebec
45.5824707,-73.57106072,Ciusss De L'Est-De-L'Île-De-Montréal — Hôpital Santa Cabrini,Active Acute Hospital,Hospitals,Canadian Institute for Health Information,Montréal,Quebec
45.85063395,-76.72992788,Cisss De L'Outaouais — Local Community Service Center De Mansfield-Et-Pontefract,Active Acute Hospital,Hospitals,Canadian Institute for Health Information,Mansfield-Et-Pontefract,Quebec
45.88104303,-72.47720191,Ciusss De La Mauricie-Et-Du-Centre-Du-Québec — Hôpital Sainte-Croix,Active Acute Hospital,Hospitals,Canadian Institute for Health Information,Drummondville,Quebec
46.100264,-60.756029,Victoria County Memorial Hospital,Active Acute Hospital,Hospitals,Canadian Institute for Health Information,Baddeck,Nova Scotia
46.226968,-61.304843,Inverness Consolidated Memorial Hospital,Active Acute Hospital,Hospitals,Canadian Institute for Health Information,Inverness,Nova Scotia
46.39541137,-75.97835616,Cisss De L'Outaouais — Hôpital De Maniwaki,Active Acute Hospital,Hospitals,Canadian Institute for Health Information,Maniwaki,Quebec
46.81057,-60.334327,Buchanan Memorial Community Health Centre,Active Acute Hospital,Hospitals,Canadian Institute for Health Information,Neils Harbour,Nova Scotia
47.37988975,-61.86754165,Cisss Des Îles — Hôpital De L’Archipel,Active Acute Hospital,Hospitals,Canadian Institute for Health Information,Les Îles-De-La-Madeleine,Quebec
48.076266,-52.999593,Dr. A. A. Wilkinson Memorial Health Centre,Active Acute Hospital,Hospitals,Canadian Institute for Health Information,Old Perlican,Newfoundland and Labrador
48.17358708,-65.99235446,Cisss De La Gaspésie — Hôpital De Maria,Active Acute Hospital,Hospitals,Canadian Institute for Health Information,Maria,Quebec
48.24789628,-79.0191436,Cisss De L'Abitibi-Témiscamingue — Hôpital De Rouyn-Noranda,Active Acute Hospital,Hospitals,Canadian Institute for Health Information,Rouyn-Noranda,Quebec
48.45024116,-68.53092081,Cisss Du Bas-Saint-Laurent — Hôpital Régional De Rimouski,Active Acute Hospital,Hospitals,Canadian Institute for Health Information,Rimouski,Quebec
48.47212604,-67.42026608,Cisss Du Bas-Saint-Laurent — Hôpital D’Amqui,Active Acute Hospital,Hospitals,Canadian Institute for Health Information,Amqui,Quebec
48.55504352,-71.66506047,Ciusss Du Saguenay–Lac-St-Jean — Hôpital D’Alma,Active Acute Hospital,Hospitals,Canadian Institute for Health Information,Alma,Quebec
48.57904661,-78.12686646,Cisss De L'Abitibi-Témiscamingue — Hôpital D’Amos,Active Acute Hospital,Hospitals,Canadian Institute for Health Information,Amos,Quebec
48.646578,-53.108451,Bonavista Peninsula Health Centre,Active Acute Hospital,Hospitals,Canadian Institute for Health Information,Bonavista,Newfoundland and Labrador
48.824015,-56.857397,A.M. Guy Memorial Health Centre,Active Acute Hospital,Hospitals,Canadian Institute for Health Information,Buchans,Newfoundland and Labrador
48.932557,-55.647952,Central Newfoundland Regional Health Centre,Active Acute Hospital,Hospitals,Canadian Institute for Health Information,Grand Falls-Windsor,Newfoundland and Labrador
49.19299268,-98.00378141,Boundary Trails Health Centre,Active Acute Hospital,Hospitals,Canadian Institute for Health Information,Winkler,Manitoba
49.224217,-100.059664,Boissevain Health Centre,Active Acute Hospital,Hospitals,Canadian Institute for Health Information,Boissevain,Manitoba
49.26590767,-123.1189624,BC Cancer Agency,Active Acute Hospital,Hospitals,Canadian Institute for Health Information,Vancouver,British Columbia
49.4245699,-112.866935,Magrath Community Health Site,Active Acute Hospital,Hospitals,Canadian Institute for Health Information,Magrath,Alberta
49.444981,-96.988244,De Salaberry District Health Centre,Active Acute Hospital,Hospitals,Canadian Institute for Health Information,Saint Pierre-Jolys,Manitoba
49.470386,-58.126394,Bonne Bay Health Centre,Active Acute Hospital,Hospitals,Canadian Institute for Health Information,Norris Point,Newfoundland and Labrador
49.505774,-56.053543,Green Bay Health Centre,Active Acute Hospital,Hospitals,Canadian Institute for Health Information,Springdale,Newfoundland and Labrador
49.595097,-99.69253,Wawanesa And District Memorial Health Centre,Active Acute Hospital,Hospitals,Canadian Institute for Health Information,Wawanesa,Manitoba
49.67227957,-103.8527325,Weyburn General Hospital And Mental Health Centre — Weyburn General Hospital,Active Acute Hospital,Hospitals,Canadian Institute for Health Information,Weyburn,Saskatchewan
49.67227957,-103.8527325,Weyburn General Hospital And Mental Health Centre — Weyburn Mental Health Centre,Active Acute Hospital,Hospitals,Canadian Institute for Health Information,Weyburn,Saskatchewan
49.81027449,-97.15182994,Victoria Hospital And Regional Mental Health Centre — Victoria Regional Mental Health Centre,Active Acute Hospital,Hospitals,Canadian Institute for Health Information,Prince Albert,Saskatchewan
