Province,Year,Total Population
Newfoundland and Labrador,2014,528266
Prince Edward Island,2014,144342
Nova Scotia,2014,938157
New Brunswick,2014,759192
Quebec,2014,8162631
Ontario,2014,13661282
Manitoba,2014,1281690
Saskatchewan,2014,1115184
Alberta,2014,4103702
British Columbia,2014,4743505
Yukon,2014,37223
Northwest Territories,2014,44031
Nunavut,2014,36100
Newfoundland and Labrador,2015,528843
Prince Edward Island,2015,144949
Nova Scotia,2015,938914
New Brunswick,2015,759971
Quebec,2015,759971
Ontario,2015,13759762
Manitoba,2015,1298120
Saskatchewan,2015,1125588
Alberta,2015,4163048
British Columbia,2015,4795547
Yukon,2015,37730
Northwest Territories,2015,44443
Nunavut,2015,36602
Newfoundland and Labrador,2016,530368
Prince Edward Island,2016,147699
Nova Scotia,2016,946623
New Brunswick,2016,764820
Quebec,2016,8246383
Ontario,2016,13948180
Manitoba,2016,1319800
Saskatchewan,2016,1139492
Alberta,2016,4207139
British Columbia,2016,4886638
Yukon,2016,38724
Northwest Territories,2016,44471
Nunavut,2016,37084
Newfoundland and Labrador,2017,530153
Prince Edward Island,2017,150595
Nova Scotia,2017,956074
New Brunswick,2017,768029
Quebec,2017,8326075
Ontario,2017,14161084
Manitoba,2017,1340426
Saskatchewan,2017,1151044
Alberta,2017,4253530
British Columbia,2017,4962706
Yukon,2017,39705
Northwest Territories,2017,44825
Nunavut,2017,37829
Newfoundland and Labrador,2018,528926
Prince Edward Island,2018,153906
Nova Scotia,2018,967578
New Brunswick,2018,772793
Quebec,2018,8418646
Ontario,2018,14413055
Manitoba,2018,1357856
Saskatchewan,2018,1159648
Alberta,2018,4311439
British Columbia,2018,5052131
Yukon,2018,40533
Northwest Territories,2018,44487
Nunavut,2018,38487
Newfoundland and Labrador,2019,528442
Prince Edward Island,2019,157025
Nova Scotia,2019,982592
New Brunswick,2019,780907
Quebec,2019,8521542
Ontario,2019,14666727
Manitoba,2019,1373884
Saskatchewan,2019,1167271
Alberta,2019,4376860
British Columbia,2019,5148047
Yukon,2019,41460
Northwest Territories,2019,44512
Nunavut,2019,38893
Newfoundland and Labrador,2020,526046
Prince Edward Island,2020,159179
Nova Scotia,2020,989154
New Brunswick,2020,783814
Quebec,2020,8551865
Ontario,2020,14757582
Manitoba,2020,1381809
Saskatchewan,2020,1165963
Alberta,2020,4412013
British Columbia,2020,5173896
Yukon,2020,42109
Northwest Territories,2020,44395
Nunavut,2020,39581
Newfoundland and Labrador,2021,528335
Prince Edward Island,2021,163775
Nova Scotia,2021,1006805
New Brunswick,2021,795755
Quebec,2021,8603553
Ontario,2021,14942272
Manitoba,2021,1396460
Saskatchewan,2021,1168901
Alberta,2021,4450442
British Columbia,2021,5267184
Yukon,2021,43119
Northwest Territories,2021,44621
Nunavut,2021,40232
Newfoundland and Labrador,2022,533444
Prince Edward Island,2022,169146
Nova Scotia,2022,1035666
New Brunswick,2022,817766
Quebec,2022,8730868
Ontario,2022,15283961
Manitoba,2022,1423596
Saskatchewan,2022,1187607
Alberta,2022,4561350
British Columbia,2022,5403528
Yukon,2022,44113
Northwest Territories,2022,44664
Nunavut,2022,40431
Newfoundland and Labrador,2023,540418
Prince Edward Island,2023,175853
Nova Scotia,2023,1066416
New Brunswick,2023,842725
Quebec,2023,8948540
Ontario,2023,15801768
Manitoba,2023,1465440
Saskatchewan,2023,1218976
Alberta,2023,4756408
British Columbia,2023,5581127
Yukon,2023,45148
Northwest Territories,2023,44760
Nunavut,2023,40817
