ADDRESS,LATITUDE,LONGITUDE,POSTAL CODE,NETWORK,PORT TYPE,AVAILABLE PORT,CHARGING FEE,ACCESSIBILITY,Operating Time,ACTIVATION METHOD
#120 280 Nelson St,49.27652699,-123.1188815,V6B 2E2,ChargePoint,EV Plug (J1772),1,$4.00/hr,Public,00:00 to 24:00,"ChargeHub App,Network App,Network RFID,Visa,Mastercard"
1 Kingsway,49.26413139,-123.1001732,V5T 3H7,Shell Recharge,EV Plug (J1772),2,$2.00/hr,Public,00:00 to 24:00,"ChargeHub App,Network App"
100 W 49th Ave,49.22459251,-123.108253,V5Y 2Z6,ChargePoint,EV Plug (J1772),26,Free,Public,00:00 to 24:00,"ChargeHub App,Network App,Network RFID,Visa,Mastercard"
1001 Cotton Dr,49.276066,-123.071246,V5L 3T2,Shell Recharge,EV Plug (J1772),3,$2.00/hr,Public,00:00 to 24:00,"ChargeHub App,Network App"
1021 W Hastings St,49.28765244,-123.1178822,V6C 0B2,ChargePoint,EV Plug (J1772),8,Free,Public,00:00 to 24:00,"ChargeHub App,Network App,Network RFID,Visa,Mastercard"
1021 W Hastings St,49.28765244,-123.1178822,V6C 0B2,ChargePoint,EV Plug (J1772),8,Free,Public,00:00 to 24:00,"ChargeHub App,Network App,Network RFID,Visa,Mastercard"
1025 W 49th Ave,49.226886,-123.129085,V6M 2P7,ChargePoint,EV Plug (J1772),2,Free,Public,00:00 to 24:00,"ChargeHub App,Network App,Network RFID,Visa,Mastercard"
1030 W Georgia St,49.28490433,-123.1219174,V6E 2Y3,Tesla,Tesla,4,Free,Public,00:00 to 24:00,No network activation required
1038 Canada Place,49.28813905,-123.1163832,V6C 0B9,Tesla,Tesla,1,Free,Public,00:00 to 24:00,No network activation required
1040 W Pender St,49.28673634,-123.1194015,V6E 2N7,ChargePoint,EV Plug (J1772),14,Free,Public,00:00 to 24:00,"ChargeHub App,Network App,Network RFID,Visa,Mastercard"
1050 Eveleigh St,49.28688003,-123.1198843,V6E 3T4,ChargePoint,EV Plug (J1772),2,Free,Public,00:00 to 24:00,"ChargeHub App,Network App,Network RFID,Visa,Mastercard"
1055 Eveleigh St,49.28700594,-123.1207439,V6E 4T3,ChargePoint,EV Plug (J1772),18,Free,Public,00:00 to 24:00,"ChargeHub App,Network App,Network RFID,Visa,Mastercard"
1055 W Hastings St,49.28785734,-123.11825,V6E 2E9,Sun Country Highway,EV Plug (J1772),2,Free,Public,00:00 to 24:00,"ChargeHub App,Network App,Network RFID,Visa,Mastercard"
1055 W Hastings St,49.28785734,-123.11825,V6E 2E9,ChargePoint,EV Plug (J1772),2,Free,Public,00:00 to 24:00,"ChargeHub App,Network App,Network RFID,Visa,Mastercard"
1066 W Hastings St,49.28773513,-123.119066,V6E 3X1,ChargePoint,EV Plug (J1772),4,Free,Public,00:00 to 24:00,"ChargeHub App,Network App,Network RFID,Visa,Mastercard"
1067 Seymour St,49.27805266,-123.1234396,V6B 3M6,Flo,EV Plug (J1772),2,$2.75/hr,Public,00:00 to 24:00,"Network App,Network RFID"
1068 W 37th Ave,49.23762119,-123.1295191,V6M 1L8,ChargePoint,EV Plug (J1772),2,Free,Public,00:00 to 24:00,"ChargeHub App,Network App,Network RFID,Visa,Mastercard"
107 E Cordova Stree,49.28286262,-123.1015758,V6A 1K3,Flo,EV Plug (J1772),3,$2.75/hr,Public,00:00 to 24:00,"Network App,Network RFID"
1075 W Georgia,49.28590314,-123.1221152,V6E 3C9,Flo,EV Plug (J1772),2,Free,Public,00:00 to 24:00,"Network App,Network RFID"
1075 W Waterfront Rd,49.28861303,-123.1181229,V6C 2C6,ChargePoint,EV Plug (J1772),4,$1.00/hr,Public,00:00 to 24:00,"ChargeHub App,Network App,Network RFID,Visa,Mastercard"
1095 W Waterfront Rd,49.28997381,-123.1190553,V6C 1C7,Flo,EV Plug (J1772),2,$2.75/hr,Public,00:00 to 24:00,"Network App,Network RFID"
1095 W Waterfront Rd,49.28991783,-123.1191089,V6C 1C7,Sun Country Highway,EV Plug (J1772),2,Free,Public,00:00 to 24:00,"ChargeHub App,Network App,Network RFID,Visa,Mastercard"
1095 W Waterfront Rd,49.28991783,-123.1191089,V6C 1C7,ChargePoint,EV Plug (J1772),1,Free,Public,00:00 to 24:00,"ChargeHub App,Network App,Network RFID,Visa,Mastercard"
1100 Granville St,49.277692,-123.124668,V6Z 2B6,Flo,EV Plug (J1772),1,Free,Public,00:00 to 24:00,"Network App,Network RFID"
111 Dunsmuir St,49.28063358,-123.1106881,V6B 2N7,ChargePoint,EV Plug (J1772),2,Free,Public,00:00 to 24:00,"ChargeHub App,Network App,Network RFID,Visa,Mastercard"
111 E 2nd Ave,49.26963798,-123.1018177,V5T 1B4,ChargePoint,EV Plug (J1772),16,Free,Public,00:00 to 24:00,"ChargeHub App,Network App,Network RFID,Visa,Mastercard"
1121-1133 Alberni St,49.28638933,-123.1249371,V6E 1A5,ChargePoint,EV Plug (J1772),3,Free,Public,00:00 to 24:00,"ChargeHub App,Network App,Network RFID,Visa,Mastercard"
1128 Quebec St,49.27493147,-123.1014726,V6A 4E1,ChargePoint,EV Plug (J1772),2,$1.00/hr,Public,00:00 to 24:00,"ChargeHub App,Network App,Network RFID,Visa,Mastercard"
1128 W Georgia St,49.28596615,-123.1236539,V6E 0A8,Tesla,Tesla,6,Free,Public,00:00 to 24:00,"Cash,Interact,Visa,Mastercard,American Express,Discover,No network activation required"
1128 W Georgia St,49.28596615,-123.1236539,V6E 0A8,None,EV Plug (J1772),1,Free,Public,00:00 to 24:00,"Cash,Interact,Visa,Mastercard,American Express,Discover,No network activation required"
114 E 4th Ave,49.26736289,-123.102276,V5T 1G2,Flo,EV Plug (J1772),12,$1.50/hr,Public,00:00 to 24:00,"Network App,Network RFID"
1150 Station St,49.27388387,-123.0982136,V6A 2X7,Flo,EV Plug (J1772),1,$2.00/hr,Public,00:00 to 24:00,"Network App,Network RFID"
1177 Melville St,49.28771994,-123.1232036,V6E 0A3,Tesla,EV Plug (J1772),6,Free,Public,00:00 to 24:00,No network activation required
1180 Mainland St,49.27479967,-123.1210562,V6B 2T9,ChargePoint,EV Plug (J1772),2,$2.00/hr,Public,00:00 to 24:00,"ChargeHub App,Network App,Network RFID,Visa,Mastercard"
1180 W Hastings St,49.28842853,-123.1222664,V6E 4R5,Tesla,EV Plug (J1772),1,Free,Public,00:00 to 24:00,No network activation required
1200 W 73th Ave,49.20358832,-123.1346721,V6P 6Z1,Flo,EV Plug (J1772),4,$2.00/hr,Public,00:00 to 24:00,"Network App,Network RFID"
122 Walter Hardwick Ave,49.27114089,-123.1076285,V5Y 0E2,ChargePoint,EV Plug (J1772),2,$2.00/hr,Public,00:00 to 24:00,"ChargeHub App,Network App,Network RFID,Visa,Mastercard"
1225 Robson St,49.28676984,-123.1271706,V6E 1C3,Flo,EV Plug (J1772),4,Free,Public,00:00 to 24:00,"Network App,Network RFID"
1285 W Broadway,49.2638498,-123.1334277,V6H 3X8,ChargePoint,EV Plug (J1772),2,$1.00/hr,Public,00:00 to 24:00,"ChargeHub App,Network App,Network RFID,Visa,Mastercard"
1305 Arbutus St,49.27459257,-123.1537685,V6J 5N2,Flo,EV Plug (J1772),4,$1.00/hr,Public,00:00 to 24:00,"Network App,Network RFID"
1333 W Broadway,49.2640362,-123.1342865,V6H 1G9,ChargePoint,EV Plug (J1772),4,Free,Public,00:00 to 24:00,"ChargeHub App,Network App,Network RFID,Visa,Mastercard"
1371 W 8th Ave,49.2647233,-123.1352405,V6H 3W4,ChargePoint,EV Plug (J1772),2,Free,Public,00:00 to 24:00,"ChargeHub App,Network App,Network RFID,Visa,Mastercard"
1416 Old Bridge St,49.27091028,-123.1341523,V6H 3S6,Flo,EV Plug (J1772),6,Free,Public,00:00 to 24:00,"Network App,Network RFID"
1470 W Broadway,49.26359531,-123.1375786,V6H 1H4,Tesla,EV Plug (J1772),1,Free,Public,00:00 to 24:00,No network activation required
150 W Pender St,49.28119735,-123.1097271,V6B 1R8,Flo,EV Plug (J1772),2,$2.75/hr,Public,00:00 to 24:00,"Network App,Network RFID"
150 Water St,49.28396694,-123.1078252,V6B 1B2,Flo,EV Plug (J1772),2,$2.75/hr,Public,00:00 to 24:00,"Network App,Network RFID"
1500 Quebec St,49.27283788,-123.1011807,V6A 2W5,Flo,EV Plug (J1772),2,$2.75/hr,Public,00:00 to 24:00,"Network App,Network RFID"
151 W Cordova St,49.28346548,-123.1079938,V6B 1E1,Flo,EV Plug (J1772),1,$2.75/hr,Public,00:00 to 24:00,"Network App,Network RFID"
1550 W 10th Ave,49.2624862,-123.1401951,V6J 5L1,ChargePoint,EV Plug (J1772),2,$1.50/hr,Public,00:00 to 24:00,"ChargeHub App,Network App,Network RFID,Visa,Mastercard"
1580 W Broadway,49.26355619,-123.140462,V6J 5K8,ChargePoint,EV Plug (J1772),7,Free,Public,05:00 to 24:00,"ChargeHub App,Network App,Network RFID,Visa,Mastercard"
1595 Boundary Rd,49.27109489,-123.024529,V5K 5C4,ChargePoint,EV Plug (J1772),2,$3.00/hr,Public,00:00 to 24:00,"ChargeHub App,Network App,Network RFID,Visa,Mastercard"
1596 W 14th Ave,49.25892744,-123.1405872,V6J 2H9,ChargePoint,EV Plug (J1772),2,Free,Public,00:00 to 24:00,"ChargeHub App,Network App,Network RFID,Visa,Mastercard"
1620 Bayshore Drive,49.29171223,-123.1299935,V6G 3L3,ChargePoint,EV Plug (J1772),4,$10.00/hr,Public,00:00 to 24:00,"ChargeHub App,Network App,Network RFID,Visa,Mastercard"
1664 E. 11th,49.26043,-123.070163,V5N 1Y7,ChargePoint,CCS & CHAdeMO,2,$12.60/hr,Public,00:00 to 24:00,"ChargeHub App,Network App,Network RFID"
1669 Davie St,49.28618693,-123.1396168,V6G 1W1,Flo,EV Plug (J1772),2,Free,Public,00:00 to 24:00,"Network App,Network RFID"
1669 Davie St,49.28618693,-123.1396168,V6G 1W1,Flo,EV Plug (J1772),2,Free,Public,00:00 to 24:00,"Network App,Network RFID"
1700 W Broadway,49.26347482,-123.1442446,V6J 1Y1,Flo,EV Plug (J1772),5,$6.00/hr,Public,00:00 to 24:00,"Network App,Network RFID"
1743 Burrard St,49.27036379,-123.1460964,V6J 3G6,Petro-Canada,EV Plug (J1772),1,Free,Public,00:00 to 24:00,"Network App,Visa,Mastercard"
1743 Burrard St,49.27036379,-123.1460964,V6J 3G6,Petro-Canada,CCS & CHAdeMO,1,$30/hr,Public,00:00 to 24:00,"Network App,Visa,Mastercard"
177 Robson St,49.27847416,-123.1144651,V6B 2A8,ChargePoint,EV Plug (J1772),3,$2.00/hr,Public,00:00 to 24:00,"ChargeHub App,Network App,Network RFID,Visa,Mastercard"
1770 W 7th,49.26535339,-123.1451729,V6J 4Z9,Flo,EV Plug (J1772),2,$0.50/hr,Public,00:00 to 24:00,"Network App,Network RFID"
180 Keefer St,49.27930656,-123.1008379,V6A 1X4,Flo,EV Plug (J1772),2,$2.75/hr,Public,00:00 to 24:00,"Network App,Network RFID"
180 Keefer St,49.27930656,-123.1008379,V6A 1X4,Flo,EV Plug (J1772),2,$2.75/hr,Public,00:00 to 24:00,"Network App,Network RFID"
1821 Robson St,49.29190042,-123.1356396,V6G 3E4,Sun Country Highway,EV Plug (J1772),1,$25/session,Restricted,08:00 to 22:00,No network activation required
1821 Robson St,49.29190042,-123.1356396,V6G 3E4,Tesla,EV Plug (J1772),1,$25/session,Restricted,08:00 to 22:00,No network activation required
1885 Clark Drive,49.2682956,-123.0781398,V5N 1G5,ChargePoint,EV Plug (J1772),2,Free,Public,00:00 to 24:00,"ChargeHub App,Network App,Network RFID,Visa,Mastercard"
